Game 1, max: Pixel(r=3, g=6, b=5), power: 90
Game 70, max: Pixel(r=5, g=10, b=8), power: 400
Game 71, max: Pixel(r=3, g=9, b=6), power: 162
Game 72, max: Pixel(r=6, g=12, b=1), power: 72
Game 73, max: Pixel(r=9, g=9, b=2), power: 162
Game 74, max: Pixel(r=7, g=4, b=3), power: 84
Game 75, max: Pixel(r=6, g=15, b=2), power: 180
Game 76, max: Pixel(r=6, g=12, b=12), power: 864
Game 77, max: Pixel(r=3, g=13, b=12), power: 468
Game 78, max: Pixel(r=1, g=5, b=1), power: 5
Game 79, max: Pixel(r=18, g=5, b=11), power: 990
Game 80, max: Pixel(r=18, g=6, b=14), power: 1512
Game 81, max: Pixel(r=17, g=3, b=12), power: 612
Game 82, max: Pixel(r=13, g=6, b=18), power: 1404
Game 83, max: Pixel(r=7, g=9, b=15), power: 945
Game 84, max: Pixel(r=7, g=6, b=3), power: 126
Game 85, max: Pixel(r=5, g=3, b=4), power: 60
Game 86, max: Pixel(r=16, g=2, b=1), power: 32
Game 87, max: Pixel(r=6, g=12, b=5), power: 360
Game 88, max: Pixel(r=6, g=3, b=11), power: 198
Game 89, max: Pixel(r=7, g=15, b=3), power: 315
Game 90, max: Pixel(r=4, g=8, b=19), power: 608
Game 91, max: Pixel(r=4, g=13, b=10), power: 520
Game 92, max: Pixel(r=9, g=16, b=7), power: 1008
Game 93, max: Pixel(r=9, g=1, b=4), power: 36
Game 94, max: Pixel(r=9, g=12, b=16), power: 1728
Game 95, max: Pixel(r=2, g=10, b=9), power: 180
Game 96, max: Pixel(r=11, g=3, b=13), power: 429
Game 97, max: Pixel(r=11, g=9, b=17), power: 1683
Game 98, max: Pixel(r=2, g=8, b=15), power: 240
Game 99, max: Pixel(r=14, g=10, b=10), power: 1400
Game 100, max: Pixel(r=6, g=6, b=14), power: 504
Count: 100, Sum: 49710
